stop_id,stop_name,latitude,longitude,platform_code,platform_name,municipality,wheelchair_accessible,parent_station,adress,description,zone,route_type
1089,Chestnut Hill Ave @ South St,42.340595,-71.155272,,,Boston,1,,,,LocalBus,3
7755,High St @ Hall St,42.367585,-71.235543,,,Waltham,1,,,,LocalBus,3
12648,Broadway @ Allen St,42.412312,-71.145561,,,Arlington,1,,,,LocalBus,3
4047,North St @ McDevitt Rd,42.178233,-71.030944,,,Randolph,1,,,,LocalBus,3
7602,South St opp Brandeis Univ Entrance,42.364452,-71.25812,,,Waltham,0,,,,LocalBus,3
1189,Soldiers Field Rd @ Cambridge St,42.361317,-71.117952,,,Boston,2,,,,LocalBus,3
568,Geneva Ave @ Blue Hill Ave,42.308694,-71.082804,,,Boston,1,,,,LocalBus,3
29014,Sullivan Square,42.383917,-71.076089,,Lower Berth 14,Boston,1,place-sull,"Maffa Way and Cambridge St, Charlestown, MA 02129",Sullivan Square - Lower Berth 14,LocalBus,3
21174,Vassar St opp Pacific St Extension,42.358309,-71.098379,,,Cambridge,1,,,,LocalBus,3
4042,North St @ Broad St,42.188177,-71.029915,,,Randolph,1,,,,LocalBus,3
1484,Dudley St @ E Cottage St,42.321419,-71.072135,,,Boston,1,,,,LocalBus,3
1569,Blue Hill Ave @ Quincy St,42.314494,-71.078817,,,Boston,1,,,,LocalBus,3
4949,Margin St @ Roycroft Rd,42.535353,-70.916697,,,Peabody,0,,,,LocalBus,3
3605,319 Lincoln St,42.249358,-70.916949,,,Hingham,1,,,,LocalBus,3
3785,Quincy Ave @ Water St,42.24377,-70.997708,,,Quincy,1,,,,LocalBus,3
3110,Wilson Ave @ Belmont St,42.268246,-71.030307,,,Quincy,1,,,,LocalBus,3
1292,Washington St @ Beacon St,42.339199,-71.135066,,,Brookline,1,,,,LocalBus,3
393,Warren St @ Woodbine St,42.319956,-71.08138,,,Boston,1,,,,LocalBus,3
7547,665 Broadway,42.443002,-71.029982,,,Malden,1,,,,LocalBus,3
2363,Medford St @ Lewis Ave,42.416863,-71.147613,,,Arlington,1,,,,LocalBus,3
49915,Montvale Ave opp Eastern Ave,42.481552,-71.144219,,,Woburn,1,,,,LocalBus,3
12301,Massachusetts Ave @ Upland Rd,42.388229,-71.119545,,,Cambridge,1,,,,LocalBus,3
109807,Hermon St @ Lincoln St,42.379617,-70.985872,,,Winthrop,0,,,,LocalBus,3
9133,Main St @ Fisher Terr,42.497441,-71.155907,,,Woburn,1,,,,LocalBus,3
98618,Main St @ Stone St,42.145831,-71.25294,,,Walpole,1,,,,LocalBus,3
32619,83 Washington St opp Ellis Ave,42.210459,-71.191353,,,Norwood,1,,,,LocalBus,3
3520,Washington St @ Fowler St,42.249568,-70.992055,,,Quincy,0,,,,LocalBus,3
9226,Main St @ Grove St,42.453018,-71.066447,,,Melrose,1,,,,LocalBus,3
7644,Washington St @ Court St,42.353025,-71.201322,,,Newton,1,,,,LocalBus,3
23537,Pleasant St @ Kensington St,42.409072,-71.159217,,,Arlington,1,,,,LocalBus,3
4061,North St @ Mill St,42.165905,-71.038501,,,Randolph,1,,,,LocalBus,3
4089,Willard St @ Thistle Rd,42.22958,-71.030926,,,Quincy,1,,,,LocalBus,3
4229,N Main St @ Langley Rd,42.137248,-71.040192,,,Randolph,1,,,,LocalBus,3
792,Belgrade Ave @ Penfield St,42.286241,-71.135028,,,Boston,1,,,,LocalBus,3
7883,South Rd @ Great Rd,42.491701,-71.279122,,,Bedford,1,,,,LocalBus,3
1141,Centre St opp New Heath St,42.326102,-71.096534,,,Boston,1,,,,LocalBus,3
4925,Washington St @ Hingston St,42.520137,-70.938798,,,Peabody,1,,,,LocalBus,3
49846,MITRE Corp Inner Rd,42.50372,-71.239692,,,Bedford,1,,,,LocalBus,3
1427,Cambridge St @ Camelia Ave - Cambridge Hospital,42.37428,-71.104467,,,Cambridge,1,,,,LocalBus,3
5240,Morton St @ Courtland Rd,42.286305,-71.093576,,,Boston,1,,,,LocalBus,3
8819,Main St @ Edenfield Ave,42.370766,-71.194738,,,Watertown,1,,,,LocalBus,3
3938,Washington St @ River St,42.21969,-71.003573,,,Braintree,1,,,,LocalBus,3
6573,S Huntington Ave @ VA Hospital,42.326594,-71.111284,,,Boston,1,,,,LocalBus,3
4023,Granite St @ Davis Rd,42.215992,-71.023141,,,Braintree,1,,,,LocalBus,3
8855,Main St @ Mountain St,42.514716,-71.161074,,,Woburn,1,,,,LocalBus,3
88171,Main St opp Green St,42.368712,-71.189316,,,Watertown,0,,,,LocalBus,3
2508,Summer St @ Vinal Ave,42.382258,-71.098475,,,Somerville,1,,,,LocalBus,3
7859,School St @ Lexington St,42.378014,-71.235172,,,Waltham,1,,,,LocalBus,3
4602,North St @ Dearborn St,42.528164,-70.902835,,,Salem,1,,,,LocalBus,3
109809,Pauline St opp Woodside Ave,42.375909,-70.987693,,,Winthrop,1,,,,LocalBus,3
10820,Veterans Hospital West Roxbury,42.275343,-71.171831,,,Boston,1,,,,LocalBus,3
3479,191 Adams St,42.265999,-71.066035,,,Milton,1,,,,LocalBus,3
3934,Washington St @ Sherbrooke Ave,42.212779,-71.004498,,,Braintree,1,,,,LocalBus,3
2349,Cross St @ Gilmore Rd,42.403357,-71.159784,,,Belmont,1,,,,LocalBus,3
5019,College Ave @ Francesca Ave,42.399088,-71.11951,,,Somerville,1,,,,LocalBus,3
9122,Main St @ Green St,42.474754,-71.149603,,,Woburn,1,,,,LocalBus,3
1444,Arsenal St @ Elm St,42.362711,-71.155659,,,Watertown,1,,,,LocalBus,3
2360,Park Ave opp Wachusett Ave,42.413325,-71.18202,,,Arlington,0,,,,LocalBus,3
8442,Bedford St @ Larchmont Ln,42.45818,-71.237183,,,Lexington,1,,,,LocalBus,3
2459,Somerville Ave @ Mossland St,42.387206,-71.116555,,,Somerville,1,,,,LocalBus,3
2446,Prospect St @ Bishop Allen Dr,42.366394,-71.103015,,,Cambridge,1,,,,LocalBus,3
4801,Pleasant St @ Essex St,42.502769,-70.855517,,,Marblehead,1,,,,LocalBus,3
2275,Massachusetts Ave @ Teel St,42.402768,-71.138361,,,Arlington,1,,,,LocalBus,3
109893,Pauline St @ Woodside Ave,42.375811,-70.987603,,,Winthrop,1,,,,LocalBus,3
109844,Shirley St @ Pontos St,42.36538,-70.96932,,,Winthrop,1,,,,LocalBus,3
7332,Lynnfield St @ Harris Rd,42.500133,-70.975966,,,Lynn,1,,,,LocalBus,3
6121,Loring Ave opp Leggs Hill Rd,42.492143,-70.893378,,,Salem,0,,,,LocalBus,3
1500,Dudley St @ Howard Ave,42.320062,-71.071274,,,Boston,1,,,,LocalBus,3
350,Dorchester Ave @ Dewar St,42.310088,-71.057799,,,Boston,1,,,,LocalBus,3
3881,Washington St opp Peach St,42.185997,-71.008626,,,Braintree,1,,,,LocalBus,3
2250,Massachusetts Ave @ Daniels St,42.424123,-71.17941,,,Arlington,1,,,,LocalBus,3
3,Washington St @ Melnea Cass Blvd - Silver Line,42.333021,-71.080799,,South Station/Downtown Crossing,Boston,1,,,Washington St @ Melnea Cass Blvd - Silver Line - South Station/Downtown Crossing,LocalBus,3
5264,Fellsway W @ Salem St,42.423833,-71.089799,,,Medford,1,,,,LocalBus,3
2845,Bunker Hill St @ Baldwin St,42.382401,-71.069733,,,Boston,1,,,,LocalBus,3
4373,Edge Hill Rd opp Westvale Rd,42.254584,-71.049864,,,Milton,1,,,,LocalBus,3
1506,Hancock St @ Trull St,42.312677,-71.064654,,,Boston,1,,,,LocalBus,3
15038,George St @ Burget Ave,42.412848,-71.116526,,,Medford,1,,,,LocalBus,3
7545,Broadway @ Central Ave,42.439924,-71.032076,,,Malden,1,,,,LocalBus,3
1528,High St opp Edgehill Rd,42.327678,-71.119349,,,Brookline,1,,,,LocalBus,3
2296,Massachusetts Ave @ Norris St,42.39586,-71.128749,,,Cambridge,1,,,,LocalBus,3
5588,Woodlawn Ave @ Washington Ave,42.412336,-71.031519,,,Chelsea,1,,,,LocalBus,3
55012,Alford St @ MBTA Charlestown Garage,42.386901,-71.072882,,,Boston,1,,,,LocalBus,3
904,Park St @ Elmwood St,42.355599,-71.182378,,,Newton,0,,,,LocalBus,3
7443,Boston St opp Hamilton St,42.460498,-70.988635,,,Lynn,1,,,,LocalBus,3
374,Talbot Ave @ Talbot Station,42.292015,-71.077978,,,Boston,1,,,,LocalBus,3
537,Dorchester Ave @ Gallivan Blvd,42.280386,-71.0659,,,Boston,1,,,,LocalBus,3
109891,Pleasant St @ Somerset Ave,42.373301,-70.989729,,,Winthrop,0,,,,LocalBus,3
2463,Rindge Ave @ Clifton St,42.393791,-71.136374,,,Cambridge,1,,,,LocalBus,3
8230,Cambridge St opp Chestnut Ave,42.51636,-71.207494,,,Burlington,1,,,,LocalBus,3
109895,Hermon St @ Lincoln St,42.379628,-70.985699,,,Winthrop,0,,,,LocalBus,3
16459,Cummins Hwy @ Regis Rd,42.269672,-71.096952,,,Boston,1,,,,LocalBus,3
270,Columbia Rd @ P St,42.332487,-71.027186,,,Boston,2,,,,LocalBus,3
